sequenceID,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
44,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
45,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
46,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
47,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))"
48,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
49,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
50,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))"
51,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))"
52,"((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((3, 0), (2, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 1))","((0, 1), (1, 1))","((0, 1), (1, 1))","((0, 1), (1, 1))","((0, 1), (1, 1))","((0, 1), (1, 1))","((0, 1), (1, 1))","((0, 1), (1, 1))","((0, 1), (1, 1))"
53,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
54,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
55,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
56,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
57,"((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
58,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
59,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
60,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
61,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
62,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
63,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))"
64,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
65,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))"
66,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))"
67,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
68,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
69,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))"
70,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
71,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))"
72,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))"
73,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
74,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
75,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
76,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))","((1, 0), (0, 1))"
77,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
78,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))"
79,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))"
80,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))","((0, 1), (0, 0))"
81,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
82,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))"
83,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))","((0, 0), (0, 1))"
84,"((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((1, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 0), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))","((0, 1), (1, 0))"
85,"((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((0, 0), (2, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))"
86,"((4, 0), (4, 0))","((4, 0), (4, 0))","((4, 0), (4, 0))","((4, 0), (4, 0))","((4, 0), (4, 0))","((4, 0), (4, 0))","((4, 0), (4, 0))","((4, 0), (4, 0))","((4, 0), (4, 0))","((4, 0), (4, 0))","((3, 0), (3, 0))","((0, 0), (2, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 2), (0, 0))","((0, 3), (0, 1))","((0, 4), (0, 2))","((0, 4), (0, 2))","((0, 4), (0, 2))","((0, 4), (0, 2))","((0, 4), (0, 2))"
87,"((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (3, 0))","((3, 0), (2, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 2), (0, 1))","((0, 1), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))","((0, 2), (0, 3))"
88,"((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((2, 0), (2, 0))","((1, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((0, 0), (0, 0))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 0), (0, 2))","((0, 1), (0, 2))","((0, 1), (0, 2))","((0, 1), (0, 2))","((0, 1), (0, 2))","((0, 1), (0, 2))"
89,"((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((2, 0), (1, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 0), (0, 0))","((1, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))","((0, 1), (0, 1))"
